Datetime;Battery Level (%);5600 Pressure (Bar);5600 Temperature (°C)
2025-01-18 19:33:06.564;100;1.290;4.0
2025-01-18 19:33:06.664;100;1.290;4.0
2025-01-18 19:33:06.764;100;1.290;4.0
2025-01-18 19:33:06.864;100;1.290;4.0
2025-01-18 19:33:06.964;100;1.290;4.0
2025-01-18 19:33:07.064;100;1.290;4.0
2025-01-18 19:33:07.164;100;1.290;4.0
2025-01-18 19:33:07.264;100;1.290;4.0
2025-01-18 19:33:07.364;100;1.290;4.0
2025-01-18 19:33:07.464;100;1.290;4.0
2025-01-18 19:33:07.563;100;1.290;4.0
2025-01-18 19:33:07.664;100;1.290;4.0
2025-01-18 19:33:07.764;100;1.290;4.0
2025-01-18 19:33:07.864;100;1.290;4.0
2025-01-18 19:33:07.964;100;1.290;4.0
2025-01-18 19:33:08.064;100;1.290;4.0
2025-01-18 19:33:08.164;100;1.290;4.0
2025-01-18 19:33:08.263;100;1.290;4.0
2025-01-18 19:33:08.364;100;1.290;4.0
2025-01-18 19:33:08.464;100;1.290;4.0
2025-01-18 19:33:08.564;100;1.290;4.0
2025-01-18 19:33:08.664;100;1.290;4.0
2025-01-18 19:33:08.764;100;1.290;4.0
2025-01-18 19:33:08.864;100;1.290;4.0
2025-01-18 19:33:08.964;100;1.290;4.0
2025-01-18 19:33:09.064;100;1.290;4.0
2025-01-18 19:33:09.163;100;1.290;4.0
2025-01-18 19:33:09.264;100;1.290;4.0
2025-01-18 19:33:09.364;100;1.290;4.0
2025-01-18 19:33:09.464;100;1.290;4.0
2025-01-18 19:33:09.564;100;1.290;4.0
2025-01-18 19:33:09.664;100;1.290;4.0
2025-01-18 19:33:09.764;100;1.290;4.0
2025-01-18 19:33:09.864;100;1.290;4.0
2025-01-18 19:33:09.964;100;1.290;4.0
2025-01-18 19:33:10.064;100;1.290;4.0
2025-01-18 19:33:10.163;100;1.290;4.0
2025-01-18 19:33:10.263;100;1.290;4.0
2025-01-18 19:33:10.364;100;1.290;4.0
2025-01-18 19:33:10.464;100;1.290;4.0
2025-01-18 19:33:10.564;100;1.290;4.0
2025-01-18 19:33:10.664;100;1.290;4.0
2025-01-18 19:33:10.764;100;1.290;4.0
2025-01-18 19:33:10.864;100;1.290;4.0
2025-01-18 19:33:10.964;100;1.290;4.0
2025-01-18 19:33:11.064;100;1.290;4.0
2025-01-18 19:33:11.164;100;1.290;4.0
2025-01-18 19:33:11.264;100;1.290;4.0
2025-01-18 19:33:11.364;100;1.290;4.0
2025-01-18 19:33:11.464;100;1.290;4.0
2025-01-18 19:33:11.564;100;1.290;4.0
2025-01-18 19:33:11.664;100;1.290;4.0
2025-01-18 19:33:11.764;100;1.290;4.0
2025-01-18 19:33:11.864;100;1.290;4.0
2025-01-18 19:33:11.964;100;1.290;4.0
2025-01-18 19:33:12.064;100;1.290;4.0
2025-01-18 19:33:12.164;100;1.290;4.0
2025-01-18 19:33:12.264;100;1.317;4.0
2025-01-18 19:33:12.364;100;1.290;4.0
2025-01-18 19:33:12.464;100;1.290;4.0
2025-01-18 19:33:12.564;100;1.290;4.0
2025-01-18 19:33:12.664;100;1.290;4.0
2025-01-18 19:33:12.764;100;1.290;4.0
2025-01-18 19:33:12.864;100;1.290;4.0
2025-01-18 19:33:12.964;100;1.290;4.0
2025-01-18 19:33:13.064;100;1.290;4.0
2025-01-18 19:33:13.163;100;1.290;4.0
2025-01-18 19:33:13.264;100;1.290;4.0
2025-01-18 19:33:13.364;100;1.290;4.0
2025-01-18 19:33:13.464;100;1.290;4.0
2025-01-18 19:33:13.564;100;1.290;4.0
